'Sofa.armIter_one' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.one_lt_armIter_eleven' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.armIter_le_of_armPair' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.one_lt_of_armPair' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.lineFn_le_lineFn_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.setOf_lineFn_le_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.setOf_lineFn_le_neg' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.volume_setOf_lineFn_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.actR_subset_pieces' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.volume_crossSet' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.pieceL_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.pieceR_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.pieceS_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.volumeReal_subset_actR_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.pieceU_eq' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.sigmaH_le_lenU' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.tauH_eq_pi_div_two' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.edgeMax_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.le_edgeMin' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.lenL_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.lenR_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.thm633_arith' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.sigmaH_le_k0_armGp' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.tan_le_add_cube' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.thalf_le_add_cube' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.sigmaH_le_k0_delta' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.ofReal_edgeLength_mul_sin_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.edgeLength_le_sigmaH' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.edgeLength_le_k0_delta' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.sigmaK_singleton_le_k0_delta' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.u_frame' depends on axioms: [propext, Classical.choice, Quot.sound]
'Sofa.edgeLength_eq_zero_of_no_normal' depends on axioms: [propext, Classical.choice, Quot.sound]
